,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
0,GLOBAL,1,WHERE SHE GOES,['Bad Bunny'],[69374424],7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,2023-05-18,89,0.143,0.652,231704,0.8,0.629,0.112,-4.019,0.0614,143.978,0.234,0.19837,226.34232,8,882
1,GLOBAL,2,Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']","[4024666, 3455353]",3qQbCzHBycnDpGskqOWY0E,DESVELADO,2023-04-28,90,0.483,0.668,165671,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,0.834,0.19787,160.33958,9,686
2,GLOBAL,3,un x100to,"['Grupo Frontera', 'Bad Bunny']","[914064, 69374424]",6pD0ufEQq0xdHSsRbg9LBK,un x100to,2023-04-17,100,0.228,0.569,194563,0.724,0.0,0.27,-4.076,0.0474,83.118,0.562,0.19732,186.35754,6,745
3,GLOBAL,4,Cupid - Twin Ver.,['FIFTY FIFTY'],[709479],7FbrGaHYVDmfr7KoLIZnQ7,The Beginning: Cupid,2023-02-24,98,0.435,0.783,174253,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,0.726,0.97569,169.0703,8,615
4,GLOBAL,5,La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']","[79147, 3455353]",2UW7JaomAMuX9pZrjVpHAU,La Bebe (Remix),2023-03-17,99,0.213,0.812,234353,0.479,1.21e-06,0.0756,-5.678,0.333,169.922,0.559,0.0,225.45415,10,938
5,GLOBAL,6,Flowers,['Miley Cyrus'],[20787777],4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,2023-03-10,91,0.0632,0.707,200455,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,4.80073,194.65288,8,755
6,GLOBAL,7,Daylight,['David Kushner'],[889695],1odExI7RdWc4BT515LTAwj,Daylight,2023-04-14,97,0.83,0.508,212954,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,2.322,187.57079,8,576
7,GLOBAL,8,Kill Bill,['SZA'],[12615197],1Qrg8KqiBpW07V7PNxwwwL,SOS,2022-12-08,94,0.0521,0.644,153947,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,3.06503,150.1054,5,571
8,GLOBAL,9,As It Was,['Harry Styles'],[27564160],4Dvkj6JhhA12EX05fT7y2e,Harry's House,2022-05-20,92,0.342,0.52,167303,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.19714,159.7533,7,683
9,GLOBAL,10,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)","['Kodak Black', 'NLE Choppa', 'Jimin', 'JVKE', 'Muni Long']","[9315805, 6183722, 5334209, 2351415, 244797]",1vvcEHQdaUTvWt0EIUYcFK,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) [Trailer Version]",2023-05-17,82,0.129,0.715,175802,0.681,0.0,0.152,-4.25,0.113,84.924,0.277,2.31039,169.12254,9,685
