,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
0,GLOBAL,1,un x100to,"['Grupo Frontera', 'Bad Bunny']","[777407, 68417868]",6pD0ufEQq0xdHSsRbg9LBK,un x100to,2023-04-17,97,0.228,0.569,194563,0.724,0.0,0.27,-4.076,0.0474,83.118,0.562,0.19732,186.35754,6,745
1,GLOBAL,2,Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']","[3876598, 2687919]",3qQbCzHBycnDpGskqOWY0E,DESVELADO,2023-04-28,74,0.483,0.668,165671,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,0.834,0.19787,160.33958,9,686
2,GLOBAL,3,La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']","[56304, 2687919]",2UW7JaomAMuX9pZrjVpHAU,La Bebe (Remix),2023-03-17,98,0.213,0.812,234353,0.479,1.21e-06,0.0756,-5.678,0.333,169.922,0.559,0.0,225.45415,10,938
3,GLOBAL,4,Cupid - Twin Ver.,['FIFTY FIFTY'],[524032],7FbrGaHYVDmfr7KoLIZnQ7,The Beginning: Cupid,2023-02-24,95,0.435,0.783,174253,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,0.726,0.97569,169.0703,8,615
4,GLOBAL,5,Flowers,['Miley Cyrus'],[20556985],4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,2023-03-10,90,0.0632,0.707,200455,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,4.80073,194.65288,8,755
5,GLOBAL,6,Kill Bill,['SZA'],[12264179],1Qrg8KqiBpW07V7PNxwwwL,SOS,2022-12-08,94,0.0521,0.644,153947,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,3.06503,150.1054,5,571
6,GLOBAL,7,Daylight,['David Kushner'],[816838],1odExI7RdWc4BT515LTAwj,Daylight,2023-04-14,94,0.83,0.508,212954,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,2.322,187.57079,8,576
7,GLOBAL,8,PRC,"['Peso Pluma', 'Natanael Cano']","[2687919, 6552133]",2mpoNBkngUEwnaKoBhZ0vl,PRC,2023-01-23,95,0.0965,0.784,184066,0.826,7.09e-05,0.123,-6.34,0.0538,138.078,0.893,0.1971,176.57034,8,835
8,GLOBAL,9,TQG,"['KAROL G', 'Shakira']","[34739825, 28761658]",0DWdj2oZMBFSzRsi2Cvfzf,MAÑANA SERÁ BONITO,2023-02-24,97,0.673,0.72,199440,0.63,0.0,0.0936,-3.547,0.277,179.974,0.607,0.0,194.00272,8,868
9,GLOBAL,10,As It Was,['Harry Styles'],[27279029],4Dvkj6JhhA12EX05fT7y2e,Harry's House,2022-05-20,92,0.342,0.52,167303,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.19714,159.7533,7,683
10,GLOBAL,11,Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']","[63977398, 89984537]",4W4fNrZYkobj539TOWsLO2,Starboy (Deluxe),2023-03-14,87,0.227,0.575,232857,0.5,0.0,0.335,-7.594,0.0707,67.033,0.506,0.0,228.04317,7,797
11,GLOBAL,12,El Azul,"['Junior H', 'Peso Pluma']","[7239449, 2687919]",1haJsMtoBhHfvuM7XWuT3W,El Azul,2023-02-10,94,0.226,0.558,187226,0.648,7.76e-06,0.0986,-7.081,0.055,143.876,0.844,0.19828,183.31573,10,843
12,GLOBAL,13,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']","[4190667, 63977398, 13541169]",2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,2022-12-02,96,0.417,0.715,221520,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,0.0,213.32172,11,903
