,market,rank,name,artists,artists_followers,id,album,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,end_of_fade_in,start_of_fade_out,sections_number,segments_number
984,RO,35,UNDE MĂ DUC,"['TZ', 'RAVA', 'NANE']","[22, 265347, 591134]",0OT2P203sOLqq3haE6KH10,UNDE MĂ DUC,2023-05-12,17,0.101,0.672,165283,0.884,2.12e-06,0.29,-3.882,0.111,106.052,0.389,0.0,159.14375,7,705
985,RO,36,Lasa-ma Sa Te...,"['Connect-R', 'Raluka']","[139290, 70655]",5H0LWXNKJAaSnlPwDN4OeC,Lasa-ma Sa Te...,2023-03-03,57,0.203,0.855,207458,0.715,0.0006,0.0845,-6.02,0.0628,118.044,0.613,0.16848,204.55038,10,1038
986,RO,37,SLUT ME OUT,['NLE Choppa'],[6140183],0WoVfPjxsf9MTvPt9ptqeE,Cottonwood 2,2023-04-14,74,0.117,0.938,123673,0.606,0.0,0.528,-6.396,0.419,121.108,0.706,0.37179,118.54948,6,501
987,RO,38,Daylight,['David Kushner'],[851803],1odExI7RdWc4BT515LTAwj,Daylight,2023-04-14,96,0.83,0.508,212954,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,2.322,187.57079,8,576
988,RO,39,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']","[4248660, 64515116, 13621908]",2dHHgzDwk4BJdRwy9uXhTO,HEROES & VILLAINS,2022-12-02,96,0.417,0.715,221520,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,0.0,213.32172,11,903
989,RO,40,Bam Bam Bam,['Berechet'],[77285],5NqkejuzfUFg1cGF1YBv90,Bam Bam Bam,2022-11-10,53,0.433,0.828,119877,0.812,2.17e-06,0.0919,-6.309,0.197,161.027,0.652,0.0,119.87719,9,580
990,RO,41,Lumea asta,['Ian'],[377133],1YvYEbR7ITXJ0Msk4ORZxY,Voodoo,2022-02-20,56,0.0141,0.866,166788,0.561,5.79e-05,0.1,-7.92,0.119,134.932,0.646,2.03175,154.761,5,673
991,RO,42,Piramida,"['Ian', 'Aerozen']","[377133, 82353]",7FnJTkhJlH9DnRoa73SvNq,Voodoo,2022-02-20,54,0.00871,0.798,180063,0.605,0.0,0.107,-8.017,0.0517,119.999,0.352,0.0,174.61986,8,628
992,RO,43,Gestu,"['Ian', 'Aerozen', 'FLORIS', 'Oscar']","[377133, 82353, 3669, 197836]",4JjurgsSCdNejiuOZ98PyQ,Gestu,2022-08-01,55,0.0212,0.864,301000,0.568,0.0,0.13,-8.684,0.0844,121.991,0.15,0.0,295.84543,12,1170
993,RO,44,Too Many Nights (feat. Don Toliver & with Future),"['Metro Boomin', 'Future', 'Don Toliver']","[4248660, 13826618, 2858379]",2Hh3ETdQKrmSI3QS0hme7g,HEROES & VILLAINS,2022-12-02,88,0.189,0.684,199920,0.671,2.37e-05,0.122,-4.392,0.0464,88.048,0.156,0.0,195.77324,7,797
994,RO,45,"MARATON - From ""Haita De Acțiune"" The Movie",['M.G.L.'],[76777],3YCtgIn37ssc8PQmw6WLC5,"MARATON (From ""Haita De Acțiune"" The Movie)",2023-03-10,54,0.107,0.724,158298,0.708,0.0,0.153,-5.868,0.0424,93.985,0.19,0.0,153.18785,9,738
995,RO,46,Te-am vazut fara inel,['Tzanca Uraganu'],[767044],4FG6TOqiQprPinFIAY3Zr5,Te-am vazut fara inel,2022-07-25,56,0.0116,0.723,177000,0.827,1.2e-06,0.135,-5.409,0.0528,160.076,0.907,0.0,171.0556,6,829
996,RO,47,Stai,"['IDK', 'KARLA']","[95247, 1178]",0yssm9ttK7TvO7QymKJlVT,Nonchalant (Deluxe),2022-10-14,53,0.744,0.342,170286,0.398,0.0,0.561,-9.803,0.0627,73.355,0.497,0.29029,164.74557,6,549
997,RO,48,Banii,"['Tzanca Uraganu', 'Manele Mentolate']","[767044, 6456]",7l1amnUcwOBdJQtLEmMKNi,Banii,2021-07-23,58,0.101,0.882,136875,0.767,0.0,0.083,-4.598,0.199,160.034,0.902,0.36544,131.61652,6,657
998,RO,49,Nu m-am gandit la despartire,"['Andra', 'Andrei Banuta']","[262708, 2598]",43HhyqVVkVkpZKvFjTMIxY,Nu m-am gandit la despartire,2023-05-04,46,0.185,0.71,189664,0.713,0.0,0.0593,-6.121,0.0523,111.923,0.585,0.41814,179.17677,11,719
999,RO,50,CONTACT FATAL,"['M.G.L.', 'ZIOAN']","[76777, 125]",5IqPGGvekdnZis9XhcyXeh,CONTACT FATAL,2022-02-25,53,0.23,0.627,159600,0.511,9.8e-06,0.0908,-6.839,0.459,171.944,0.353,0.0,155.29506,8,756
1000,SK,1,Sunset,"['Separ', 'Jerry Lee', 'P T K']","[231974, 804, 82793]",4WXX611x1aCtwcqVJgA3xb,FLOWDEMORT,2023-03-31,60,0.237,0.762,155520,0.805,0.0,0.11,-6.63,0.386,124.977,0.271,0.0,141.74042,5,686
1001,SK,2,Safír,"['Calin', 'Viktor Sheen']","[332517, 435623]",1tpWtFdAuY9chjl5YhzsTP,ROADTRIP,2023-02-03,71,0.0737,0.711,149589,0.578,0.0,0.112,-7.759,0.0814,146.097,0.448,0.31338,145.11891,7,650
1002,SK,3,Daylight,['David Kushner'],[851803],1odExI7RdWc4BT515LTAwj,Daylight,2023-04-14,96,0.83,0.508,212954,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,2.322,187.57079,8,576
1003,SK,4,Nemam mood,"['Separ', 'Peter Pann']","[231974, 27418]",1BnuGuGGEv1mIpJEmDZ5nq,FLOWDEMORT,2023-03-31,59,0.329,0.833,193636,0.797,1.13e-05,0.0907,-7.156,0.092,131.98,0.444,0.0,188.19193,11,791
1004,SK,5,Habibi,['STEIN27'],[161198],5FXDsBtTJRSMmmWhFxhAI0,Habibi,2022-11-18,67,0.0021,0.706,146939,0.65,1.32e-05,0.173,-7.791,0.249,147.015,0.749,0.0,142.83176,7,650
1005,SK,6,Wake Up,"['Fobia Kid', 'Separ']","[57961, 231974]",55spL5CkRMLeP3QCmi07e0,Wake Up,2023-05-12,10,0.0291,0.785,166709,0.741,0.000351,0.367,-5.263,0.0739,103.946,0.559,0.0,166.70871,7,936
1006,SK,7,Intro,['Separ'],[231974],7Hv3RbeEI9ynt6S7dIm3iT,FLOWDEMORT,2023-03-31,58,0.585,0.796,119111,0.697,0.0,0.343,-7.524,0.0631,135.071,0.744,0.0,113.1102,5,482
1007,SK,8,Hannah Montana,['Calin'],[332517],2sXnat46y10FtAbW2A0ira,POPSTAR,2022-03-11,64,0.0621,0.583,158608,0.784,4.49e-05,0.171,-6.708,0.0882,135.08,0.744,0.0,153.87865,7,726
1008,SK,9,Dívej,"['Calin', 'Viktor Sheen']","[332517, 435623]",0Pl0foFNy1vuVgx1NHVjSE,ROADTRIP,2023-02-03,67,0.125,0.647,155493,0.551,1.72e-05,0.11,-7.812,0.205,141.913,0.29,0.0,146.6224,9,672
1009,SK,10,Reťaze,['Separ'],[231974],1qHZrVjQrXxpb0lTdOmM7K,FLOWDEMORT,2023-03-31,57,0.625,0.447,188219,0.602,0.0,0.1,-6.872,0.405,73.257,0.588,0.0,182.38693,7,828
1010,SK,11,Nočná,"['Separ', 'Peter Pann', 'Viktor Sheen', 'Saul']","[231974, 27418, 435623, 37786]",7247XU3UTRstBd3T3SmtZV,FLOWDEMORT,2023-03-31,58,0.0759,0.797,247869,0.689,4.53e-05,0.0983,-6.072,0.0649,122.01,0.351,0.0,243.18259,10,1087
1011,SK,12,Flowers,['Miley Cyrus'],[20667407],4DHcnVTT87F0zZhRPYmZ3B,Endless Summer Vacation,2023-03-10,90,0.0632,0.707,200455,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,4.80073,194.65288,8,755
1012,SK,13,Valeriya,['Samey'],[79011],09MbMeMVENgLv6Z9ogzkuG,Slzy Ulic,2023-02-02,57,0.0544,0.657,120828,0.572,8.71e-05,0.25,-6.489,0.362,145.064,0.665,0.0,116.18104,6,574
1013,SK,14,Praha/Vídeň,['Calin'],[332517],163UXyyrFlAIQapVN3DqIp,POPSTAR,2022-03-11,61,0.41,0.778,162462,0.449,0.00126,0.105,-7.464,0.0339,130.007,0.325,0.0,153.35039,10,654
1014,SK,15,Inverzia,"['Pil C', 'Viktor Sheen']","[117290, 435623]",0fP30PpvCS3AB4hBN91GPY,"S láskou, Lukáš.",2023-02-14,58,0.131,0.865,204600,0.546,0.0,0.107,-6.534,0.0707,115.041,0.351,2.69351,200.01088,8,883
1015,SK,16,New York Freestyle,['Separ'],[231974],6clPWgnz75XivASY6qgJVs,FLOWDEMORT,2023-03-31,55,0.382,0.577,213147,0.714,0.0,0.239,-5.134,0.396,105.059,0.579,0.0,207.22067,7,909
1016,SK,17,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']","[25970248, 8188177]",4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),2022-08-26,94,0.00383,0.561,175238,0.965,7.07e-06,0.371,-3.673,0.0343,128.04,0.304,0.07478,163.43945,8,722
1017,SK,18,Cikády,"['Calin', 'Viktor Sheen']","[332517, 435623]",4enbO9cZhJLSZ6Tf21LRnv,ROADTRIP,2023-02-03,64,0.0935,0.848,168923,0.537,2.31e-06,0.0569,-8.671,0.0571,130.013,0.978,0.26122,164.10123,7,710
1018,SK,19,Zachráň moju dušu,"['Separ', 'ECM Squad', 'Yzomandias']","[231974, 566, 368850]",2Sn77SmatEM9xT0bWDhQho,FLOWDEMORT,2023-03-31,57,0.714,0.787,205352,0.475,1.38e-05,0.11,-7.738,0.336,142.02,0.637,0.0,205.35211,10,948
1019,SK,20,No signal,"['Separ', 'SMART']","[231974, 1747]",6uVVo6JGbwnrtCTCo1YRmk,FLOWDEMORT,2023-03-31,56,0.159,0.889,210000,0.595,0.0,0.0834,-6.137,0.327,140.007,0.628,0.0,205.43855,9,995
1020,SK,21,Hejtklub 11,"['Separ', 'Luca Brassi10x']","[231974, 5450]",1Ts222mGd174xN3ClQRzSw,FLOWDEMORT,2023-03-31,56,0.116,0.52,142083,0.698,0.0,0.117,-6.288,0.231,145.656,0.239,0.0,138.27483,7,625
1021,SK,22,Lay Low,['Tiësto'],[6882198],3IhM5Mber8KA0NaRNpK2px,DRIVE,2023-04-21,71,0.18,0.705,140160,0.663,6.74e-06,0.0924,-5.289,0.0367,124.988,0.38,0.36576,149.84418,7,604
